ShotID,Time,aX,aY,aZ,gX,gY,gZ
3,0,0.009,0.240,0.123,-36.560,-13.489,16.602
3,1,-0.046,0.276,0.195,99.121,22.705,-19.531
3,2,-0.225,-0.519,-0.742,302.002,75.989,-62.805
3,3,-0.349,-1.381,-1.953,118.530,62.683,-7.812
3,4,-0.225,-2.461,-3.262,-471.008,-18.494,91.309
3,5,-0.123,-3.974,-2.675,-898.132,-130.310,83.069
3,6,-0.318,-4.000,-2.389,-187.134,-246.033,-20.630
3,7,-0.124,-1.287,-1.033,887.878,-339.661,23.315
3,8,-0.117,-0.518,-0.459,884.216,-322.144,163.269
3,9,-0.150,-0.191,-0.175,465.454,-224.731,323.425
3,10,-0.066,0.211,0.126,150.024,-75.378,459.167
3,11,0.214,0.530,0.444,153.198,46.326,426.758
3,12,0.268,0.558,0.387,429.016,-1.953,244.385
3,13,0.079,0.356,0.139,724.915,-141.846,61.768
3,14,-0.116,0.061,-0.090,848.511,-206.787,-55.725
3,15,-0.177,-0.177,-0.148,737.122,-168.274,-85.510
3,16,-0.171,-0.266,-0.094,442.322,-99.731,-42.053
3,17,-0.068,-0.105,0.079,75.134,-73.547,42.542
3,18,-0.017,0.062,0.172,-195.923,-90.820,96.069
3,19,0.016,0.106,0.126,-287.842,-94.971,57.007
3,20,0.049,0.034,0.025,-274.963,-44.189,-45.166
3,21,0.008,-0.015,-0.001,-273.926,30.212,-143.616
3,22,-0.057,-0.087,-0.050,-307.312,84.778,-207.703
3,23,-0.065,-0.198,-0.175,-384.094,104.919,-227.722
3,24,-0.054,-0.204,-0.244,-531.372,110.596,-205.139
3,25,-0.052,-0.095,-0.214,-688.293,134.460,-165.771
3,26,-0.041,0.004,-0.140,-743.835,192.139,-148.193
3,27,-0.076,-0.052,-0.110,-653.259,269.409,-179.138
3,28,-0.200,-0.355,-0.316,-454.285,339.844,-238.770
3,29,-0.814,-2.316,-2.267,-267.578,387.695,-274.841
3,30,-2.162,-4.000,-4.000,-458.496,312.561,-172.424
3,31,-1.060,-3.808,-2.452,-561.951,-15.076,110.840
3,32,-0.227,-0.603,-0.506,280.762,-186.157,171.997
3,33,-0.082,0.050,-0.122,648.499,-129.761,151.428
3,34,-0.058,0.114,-0.077,632.568,10.010,222.168
3,35,-0.023,0.173,-0.038,594.238,179.321,270.996
3,36,0.068,0.166,-0.067,637.695,336.792,265.137
3,37,0.137,-0.151,-0.509,723.267,381.592,212.402
3,38,0.130,-0.498,-0.958,619.507,312.561,138.794
3,39,0.140,-0.681,-1.319,200.012,227.356,50.903
3,40,0.036,-0.525,-1.200,-315.247,152.710,-56.335
3,41,0.060,-0.564,-1.296,-684.937,54.993,-159.790
3,42,0.021,-0.725,-1.323,-948.608,-67.017,-237.915
3,43,-0.090,-1.053,-1.229,-1062.012,-192.810,-257.019
3,44,-0.149,-1.043,-0.648,-919.312,-278.870,-216.553
3,45,-0.117,-0.312,-0.090,-508.179,-277.710,-166.321
3,46,-0.061,-0.107,-0.000,-121.704,-190.552,-120.178
3,47,0.065,-0.524,-0.241,148.315,-65.247,-60.364
3,48,0.115,-0.987,-0.725,393.738,42.419,7.446
3,49,0.091,-1.067,-1.091,556.335,91.980,70.862
3,50,0.237,-1.413,-1.526,558.960,69.458,93.079
3,51,0.184,-0.915,-1.065,422.791,-0.671,50.720
3,52,0.072,-0.522,-0.661,308.533,-63.110,-36.804
3,53,-0.028,-0.427,-0.534,239.563,-88.989,-109.924
3,54,-0.102,-0.388,-0.477,111.755,-75.012,-131.287
3,55,-0.120,-0.471,-0.615,-68.420,-42.236,-104.370
3,56,-0.110,-0.673,-0.925,-283.875,-17.151,-58.594
3,57,-0.105,-0.899,-1.139,-460.999,-23.010,-37.476
3,58,-0.124,-1.042,-1.069,-489.197,-67.749,-54.993
3,59,-0.206,-0.754,-0.667,-328.735,-130.676,-79.956
3,60,-0.234,-0.479,-0.436,-90.576,-155.884,-83.252
3,61,-0.271,-0.531,-0.513,47.485,-115.173,-49.255
3,62,-0.298,-0.696,-0.708,43.152,-28.381,22.949
3,63,-0.284,-0.828,-0.845,-25.024,63.965,98.938
3,64,-0.253,-0.851,-0.862,-29.846,120.178,131.287
3,65,-0.257,-0.753,-0.804,68.237,111.511,117.249
3,66,-0.318,-0.721,-0.836,182.800,62.988,83.008
3,67,-0.300,-0.551,-0.707,217.163,30.090,59.265
3,68,-0.244,-0.369,-0.511,159.424,36.194,59.265
3,69,-0.232,-0.552,-0.689,80.139,71.716,73.730
3,70,-0.208,-0.648,-0.796,-20.813,100.647,95.703
3,71,-0.213,-0.848,-1.003,-81.482,101.257,105.042
3,72,-0.170,-0.916,-1.036,-98.694,69.946,92.346
3,73,-0.085,-0.700,-0.766,-69.580,34.241,51.575
3,74,-0.104,-0.590,-0.631,9.033,21.729,6.409
3,75,-0.170,-0.583,-0.619,44.495,28.748,6.714
3,76,-0.142,-0.547,-0.602,20.569,48.035,53.650
3,77,-0.084,-0.672,-0.751,2.197,75.562,94.849
3,78,-0.037,-0.825,-0.918,1.953,82.458,100.220
3,79,-0.028,-0.843,-0.940,16.235,58.350,69.641
3,80,-0.062,-0.732,-0.830,45.288,23.315,21.362
3,81,-0.087,-0.621,-0.712,62.378,-0.793,-11.597
3,82,-0.100,-0.577,-0.665,44.189,-5.371,-16.479
3,83,-0.089,-0.637,-0.734,-3.845,2.747,-3.357
3,84,-0.064,-0.731,-0.826,-50.537,8.545,7.141
3,85,-0.044,-0.768,-0.845,-57.922,-1.465,-0.732
3,86,-0.055,-0.748,-0.812,-14.282,-25.085,-27.283
3,87,-0.087,-0.684,-0.742,39.490,-47.302,-53.833
3,88,-0.120,-0.656,-0.707,59.387,-53.101,-60.669
3,89,-0.134,-0.657,-0.709,34.912,-44.006,-46.875
3,90,-0.136,-0.689,-0.747,-4.578,-30.273,-28.076
3,91,-0.133,-0.735,-0.795,-24.292,-23.987,-23.071
3,92,-0.142,-0.743,-0.802,-12.878,-30.640,-35.522
3,93,-0.161,-0.714,-0.773,13.794,-44.250,-53.650
3,94,-0.176,-0.679,-0.736,28.137,-52.185,-61.707
3,95,-0.178,-0.664,-0.715,15.625,-46.997,-54.016
3,96,-0.166,-0.681,-0.727,-11.414,-32.227,-37.537
3,97,-0.150,-0.716,-0.757,-28.564,-16.724,-22.034
3,98,-0.140,-0.736,-0.772,-21.057,-10.071,-15.381
3,99,-0.139,-0.727,-0.761,5.249,-11.475,-15.564
3,100,-0.143,-0.704,-0.740,30.090,-12.451,-14.526
3,101,-0.145,-0.687,-0.725,34.363,-6.653,-6.897
3,102,-0.138,-0.689,-0.730,18.555,5.676,6.226
3,103,-0.124,-0.705,-0.751,-2.563,18.860,18.921
3,104,-0.112,-0.724,-0.774,-12.085,25.574,25.452
3,105,-0.107,-0.725,-0.773,-7.019,23.254,25.208
3,106,-0.109,-0.712,-0.759,4.089,17.334,22.644
3,107,-0.115,-0.696,-0.740,9.033,14.893,23.315
3,108,-0.116,-0.691,-0.737,2.136,19.592,28.503
3,109,-0.115,-0.701,-0.749,-9.888,27.954,35.583
3,110,-0.115,-0.712,-0.764,-17.212,33.691,39.673
3,111,-0.119,-0.714,-0.770,-13.123,33.203,37.964
3,112,-0.127,-0.705,-0.765,-1.221,26.733,32.471
3,113,-0.137,-0.695,-0.754,8.911,19.287,27.222
3,114,-0.141,-0.687,-0.748,9.399,15.564,24.414
4,0,-0.391,-2.303,-3.144,-223.938,3.540,58.472
4,1,-0.424,-3.512,-2.839,-817.688,-104.248,112.732
4,2,-0.603,-3.964,-2.142,-451.416,-223.206,33.691
4,3,-0.283,-1.647,-1.139,539.978,-325.134,14.893
4,4,-0.538,-1.873,-1.549,742.065,-310.791,101.624
4,5,-0.286,-0.455,-0.451,300.598,-221.619,256.531
4,6,-0.068,0.281,0.146,-94.971,-85.876,395.752
4,7,0.097,0.628,0.522,-65.491,50.232,381.714
4,8,0.173,0.629,0.506,267.456,21.606,263.306
4,9,0.081,0.458,0.299,623.901,-117.126,158.936
4,10,-0.050,0.210,0.078,845.276,-218.811,101.135
4,11,-0.126,-0.011,-0.030,875.671,-236.023,91.614
4,12,-0.182,-0.144,0.022,735.718,-200.012,118.103
4,13,-0.188,-0.173,0.117,512.573,-168.213,184.448
4,14,-0.160,0.010,0.277,320.618,-162.292,249.390
4,15,-0.150,0.028,0.247,237.305,-152.649,254.639
4,16,-0.045,-0.007,0.275,233.704,-86.243,206.604
4,17,0.067,-0.115,0.215,234.009,58.899,154.663
4,18,-0.079,-0.219,0.069,148.682,226.257,116.394
4,19,-0.004,-0.260,-0.116,-63.049,340.759,100.159
4,20,0.170,-0.164,-0.395,-440.979,428.040,81.543
4,21,0.057,0.174,-0.477,-922.119,504.150,31.738
4,22,-2.266,2.017,2.851,-925.232,586.304,-46.387
4,23,-0.485,0.069,-4.000,-214.783,708.618,-14.160
4,24,-0.094,0.418,-3.024,-1682.190,265.259,-181.641
4,25,-0.448,-4.000,-3.772,-1992.676,-152.466,-396.973
4,26,-0.854,-4.000,-2.584,-977.478,-606.079,-309.326
4,27,-0.184,-1.513,-1.427,881.531,-806.335,-8.667
4,28,0.226,-0.730,-0.690,775.208,-649.475,158.936
4,29,0.086,-0.208,-0.262,394.592,-293.457,197.632
4,30,-0.061,0.145,0.023,291.931,130.127,163.269
4,31,0.150,0.352,0.222,447.998,402.771,111.633
4,32,0.170,0.194,-0.104,779.358,394.104,1.648
4,33,-0.099,-0.465,-1.083,1044.373,241.821,-119.507
4,34,-0.238,-1.087,-1.711,865.723,171.570,-174.500
4,35,-0.106,-0.639,-0.964,176.331,164.551,-152.161
4,36,-0.012,-0.512,-0.878,-363.159,120.667,-133.545
4,37,0.000,-0.655,-1.092,-655.579,-0.732,-159.363
4,38,-0.120,-0.814,-1.131,-836.975,-193.054,-191.162
4,39,-0.286,-0.969,-0.886,-840.332,-346.741,-204.163
4,40,-1.586,-2.118,0.744,-631.409,-392.761,-177.673
4,41,-0.324,-0.497,0.309,-406.311,-217.651,18.799
4,42,-0.112,-0.459,-0.095,-194.336,-12.939,169.739
4,43,-0.147,-0.904,-0.503,105.164,83.618,164.551
4,44,-0.220,-1.018,-0.731,302.490,160.217,163.757
4,45,-0.233,-0.807,-0.678,349.060,220.703,178.711
4,46,-0.212,-0.688,-0.667,325.684,255.859,191.528
4,47,-0.229,-0.747,-0.806,263.611,255.981,202.026
4,48,-0.235,-0.853,-0.960,164.246,226.257,191.467
4,49,-0.228,-0.824,-0.956,36.926,162.903,145.386
4,50,-0.220,-0.652,-0.787,-92.224,85.388,86.121
4,51,-0.245,-0.582,-0.713,-184.570,22.400,40.588
4,52,-0.278,-0.619,-0.742,-258.362,-10.803,21.973
4,53,-0.282,-0.714,-0.819,-327.209,-18.372,25.208
4,54,-0.250,-0.810,-0.854,-363.647,-5.188,30.762
4,55,-0.203,-0.817,-0.796,-317.871,16.052,22.400
4,56,-0.183,-0.753,-0.726,-183.777,28.076,4.333
4,57,-0.172,-0.737,-0.752,-29.297,25.757,-2.930
4,58,-0.150,-0.746,-0.819,70.129,20.386,7.446
4,59,-0.120,-0.712,-0.833,91.553,21.423,23.682
4,60,-0.093,-0.673,-0.829,59.998,22.583,30.640
4,61,-0.076,-0.692,-0.886,18.555,12.634,21.484
4,62,-0.081,-0.689,-0.903,-24.414,-5.066,-3.418
4,63,-0.106,-0.680,-0.903,-69.580,-21.240,-38.452
4,64,-0.133,-0.662,-0.878,-113.831,-30.579,-68.176
4,65,-0.148,-0.644,-0.854,-150.879,-34.729,-82.520
4,66,-0.146,-0.654,-0.849,-168.457,-34.119,-83.496
4,67,-0.141,-0.629,-0.809,-158.203,-31.616,-79.895
4,68,-0.134,-0.617,-0.783,-111.145,-31.982,-75.867
4,69,-0.124,-0.629,-0.791,-42.480,-36.743,-71.655
4,70,-0.115,-0.629,-0.799,18.921,-40.527,-66.162
4,71,-0.104,-0.633,-0.811,51.453,-39.429,-58.655
4,72,-0.090,-0.629,-0.812,47.729,-34.119,-51.697
4,73,-0.079,-0.635,-0.822,26.123,-27.222,-47.913
4,74,-0.077,-0.638,-0.823,2.563,-23.499,-48.889
4,75,-0.084,-0.637,-0.819,-11.963,-24.536,-51.941
4,76,-0.094,-0.630,-0.803,-16.296,-27.527,-53.284
4,77,-0.103,-0.627,-0.787,-12.634,-28.748,-48.157
4,78,-0.104,-0.625,-0.772,-4.700,-25.879,-36.438
4,79,-0.099,-0.633,-0.770,8.789,-19.043,-20.203
4,80,-0.091,-0.644,-0.772,28.503,-11.780,-3.540
4,81,-0.084,-0.659,-0.783,52.673,-6.897,10.742
4,82,-0.084,-0.676,-0.799,72.327,-3.479,22.522
4,83,-0.087,-0.680,-0.802,78.552,-0.732,31.555
4,84,-0.091,-0.680,-0.798,71.960,3.479,38.574
4,85,-0.100,-0.682,-0.795,59.753,8.728,44.312
4,86,-0.110,-0.686,-0.792,50.171,12.878,49.561
4,87,-0.121,-0.696,-0.792,47.363,15.442,54.382
4,88,-0.130,-0.705,-0.792,51.514,16.907,58.533
4,89,-0.141,-0.711,-0.789,59.875,18.188,62.561
4,90,-0.150,-0.723,-0.789,69.519,19.958,65.979
4,91,-0.157,-0.727,-0.782,77.209,22.644,68.481
4,92,-0.165,-0.735,-0.782,84.351,25.330,68.970
4,93,-0.174,-0.743,-0.778,89.539,27.466,67.383
4,94,-0.183,-0.748,-0.774,92.041,28.748,63.599
4,95,-0.194,-0.752,-0.766,91.248,28.748,57.556
4,96,-0.202,-0.754,-0.756,88.623,27.405,50.049
4,97,-0.210,-0.753,-0.745,85.693,25.024,42.175
4,98,-0.216,-0.752,-0.734,82.458,21.118,33.875
4,99,-0.218,-0.752,-0.725,78.857,16.357,25.452
4,100,-0.219,-0.753,-0.717,75.317,11.292,17.090
4,101,-0.215,-0.755,-0.711,71.228,5.920,8.423
4,102,-0.205,-0.754,-0.704,66.345,0.427,-0.244
4,103,-0.195,-0.756,-0.701,60.608,-5.066,-9.216
