ShotID,Time,aX,aY,aZ,gX,gY,gZ
1,0,-0.280,-2.960,-3.911,-186.951,6.775,57.251
1,1,-0.972,-3.883,-2.832,-950.745,-107.056,138.611
1,2,-0.201,-4.000,-2.056,-459.045,-235.413,55.481
1,3,0.212,-1.392,-0.972,774.536,-358.948,14.587
1,4,-0.027,-0.443,-0.442,1027.710,-359.558,102.661
1,5,-0.160,-0.226,-0.215,634.277,-277.893,265.808
1,6,-0.101,0.109,0.069,237.305,-133.850,436.523
1,7,0.174,0.398,0.357,155.457,14.404,439.880
1,8,0.230,0.495,0.393,360.107,18.616,278.931
1,9,0.092,0.400,0.230,633.118,-98.389,115.234
1,10,-0.095,0.164,-0.009,814.880,-181.213,-11.841
1,11,-0.204,-0.113,-0.129,792.175,-152.466,-72.021
1,12,-0.191,-0.255,-0.086,554.504,-72.632,-38.208
1,13,-0.096,-0.184,0.054,200.562,-39.795,57.373
1,14,0.001,-0.035,0.159,-97.412,-58.777,118.652
1,15,-0.013,0.056,0.145,-252.380,-76.111,100.830
1,16,0.006,0.062,0.089,-292.725,-39.185,31.250
1,17,0.020,0.018,0.025,-299.011,36.072,-48.889
1,18,-0.006,-0.059,-0.051,-325.317,106.995,-121.643
1,19,-0.049,-0.161,-0.180,-406.128,142.151,-168.335
1,20,-0.088,-0.212,-0.335,-563.477,154.785,-172.729
1,21,-0.102,-0.168,-0.428,-767.517,175.232,-144.104
1,22,-0.089,-0.155,-0.456,-908.752,226.868,-131.287
1,23,-0.145,-0.401,-0.560,-891.785,298.401,-176.880
1,24,-0.524,-1.733,-1.540,-740.479,344.788,-259.277
1,25,-1.683,-4.000,-3.971,-636.658,283.142,-257.935
1,26,-1.172,-4.000,-3.026,-424.255,6.226,-22.217
1,27,-0.292,-1.152,-0.835,213.562,-183.716,157.104
1,28,-0.153,-0.238,-0.319,505.310,-90.637,158.752
1,29,-0.053,0.064,-0.086,510.498,65.186,219.177
1,30,0.043,0.090,-0.094,532.959,221.191,243.591
1,31,0.148,-0.002,-0.238,654.480,331.909,196.716
1,32,0.165,-0.296,-0.625,772.400,344.421,119.934
1,33,0.104,-0.723,-1.156,679.626,274.048,58.472
1,34,0.074,-0.415,-0.705,284.729,165.466,11.597
1,35,0.029,-0.136,-0.281,-53.284,82.214,-52.185
1,36,-0.040,-0.198,-0.374,-172.302,34.790,-118.042
1,37,-0.094,-0.349,-0.640,-288.879,-15.564,-152.100
1,38,-0.085,-0.697,-1.271,-500.061,-87.219,-157.837
1,39,0.009,-1.217,-1.923,-811.218,-164.612,-165.588
1,40,0.049,-1.780,-1.778,-1038.940,-223.938,-202.759
1,41,-0.058,-1.274,-0.697,-813.477,-279.236,-241.638
1,42,-0.058,-0.164,-0.029,-260.376,-310.364,-220.947
1,43,-0.060,-0.003,0.007,78.552,-250.183,-166.504
1,44,-0.023,-0.320,-0.206,231.018,-105.957,-101.746
1,45,-0.042,-0.718,-0.624,336.487,46.692,-26.550
1,46,0.012,-1.229,-1.202,364.868,118.652,49.438
1,47,0.111,-1.239,-1.253,303.589,78.979,80.750
1,48,0.046,-0.774,-0.874,269.043,-19.104,30.823
1,49,-0.062,-0.588,-0.728,299.561,-86.121,-66.772
1,50,-0.166,-0.531,-0.650,264.221,-95.886,-129.639
1,51,-0.203,-0.482,-0.581,99.121,-66.467,-117.065
1,52,-0.186,-0.519,-0.672,-134.216,-19.653,-57.007
1,53,-0.151,-0.737,-0.930,-335.388,23.254,-5.249
1,54,-0.123,-0.895,-0.972,-414.368,26.306,6.897
1,55,-0.136,-0.771,-0.733,-306.458,-23.010,-13.672
1,56,-0.177,-0.575,-0.551,-82.397,-77.820,-36.133
1,57,-0.233,-0.659,-0.662,73.547,-82.642,-29.236
1,58,-0.246,-0.752,-0.767,62.622,-34.546,23.621
1,59,-0.225,-0.763,-0.783,-38.879,46.387,92.041
1,60,-0.207,-0.739,-0.755,-87.402,119.751,133.728
1,61,-0.194,-0.658,-0.701,-16.357,143.494,135.681
1,62,-0.219,-0.650,-0.750,116.089,117.859,111.023
1,63,-0.252,-0.712,-0.852,195.862,79.712,89.783
1,64,-0.259,-0.692,-0.837,158.508,58.411,89.966
1,65,-0.240,-0.615,-0.755,48.340,62.317,101.440
1,66,-0.211,-0.603,-0.739,-46.021,79.285,103.638
1,67,-0.176,-0.644,-0.769,-80.811,88.074,87.463
1,68,-0.152,-0.694,-0.807,-61.462,76.355,59.509
1,69,-0.137,-0.714,-0.818,-27.222,49.011,37.598
1,70,-0.116,-0.694,-0.781,-12.451,26.367,31.067
1,71,-0.091,-0.678,-0.747,-15.747,22.766,33.386
1,72,-0.067,-0.682,-0.739,-18.188,33.447,36.926
1,73,-0.053,-0.690,-0.747,-4.028,43.762,37.048
1,74,-0.047,-0.712,-0.789,22.583,41.748,32.104
1,75,-0.051,-0.705,-0.802,42.419,26.611,22.888
1,76,-0.064,-0.688,-0.791,42.603,6.104,10.010
1,77,-0.079,-0.681,-0.778,28.687,-9.583,-4.639
1,78,-0.092,-0.677,-0.769,10.437,-19.104,-20.020
1,79,-0.103,-0.669,-0.760,-4.272,-25.879,-33.081
1,80,-0.110,-0.679,-0.767,-13.123,-32.776,-41.443
1,81,-0.116,-0.699,-0.781,-15.808,-40.955,-47.668
1,82,-0.125,-0.711,-0.781,-12.817,-50.110,-52.124
1,83,-0.137,-0.708,-0.768,-2.686,-56.702,-55.298
1,84,-0.148,-0.686,-0.742,10.742,-56.763,-55.847
1,85,-0.160,-0.680,-0.739,21.240,-51.270,-53.955
1,86,-0.170,-0.696,-0.758,23.193,-42.114,-48.462
1,87,-0.173,-0.701,-0.767,16.357,-34.180,-42.297
1,88,-0.173,-0.705,-0.770,11.841,-30.273,-38.330
1,89,-0.175,-0.694,-0.756,12.817,-30.151,-36.987
1,90,-0.172,-0.692,-0.749,17.456,-29.419,-35.706
1,91,-0.165,-0.689,-0.742,17.334,-26.184,-31.311
1,92,-0.156,-0.700,-0.748,10.376,-19.165,-22.278
1,93,-0.146,-0.708,-0.750,0.977,-9.399,-10.864
1,94,-0.137,-0.717,-0.751,-3.418,-0.671,-1.343
1,95,-0.131,-0.719,-0.750,2.075,6.287,5.676
1,96,-0.128,-0.710,-0.740,12.451,12.024,12.085
1,97,-0.127,-0.707,-0.741,19.958,17.456,19.531
1,98,-0.126,-0.708,-0.745,18.188,22.827,28.076
1,99,-0.125,-0.708,-0.747,10.498,27.466,35.767
1,100,-0.125,-0.710,-0.751,5.249,30.762,39.917
1,101,-0.127,-0.712,-0.756,4.028,31.494,39.795
1,102,-0.128,-0.709,-0.754,3.540,29.846,37.476
1,103,-0.131,-0.708,-0.753,0.793,27.832,35.400
1,104,-0.134,-0.707,-0.750,-4.822,26.428,34.241
1,105,-0.137,-0.703,-0.748,-10.071,25.940,33.508
1,106,-0.141,-0.701,-0.746,-10.498,25.146,31.860
1,107,-0.145,-0.704,-0.751,-5.737,23.010,29.114
1,108,-0.147,-0.705,-0.754,0.977,19.531,24.719
1,109,-0.147,-0.704,-0.757,5.188,15.137,19.592
1,110,-0.145,-0.698,-0.754,5.432,10.925,14.282
1,111,-0.141,-0.695,-0.754,3.357,7.568,8.606
1,112,-0.138,-0.695,-0.756,-0.854,3.113,2.441
1,113,-0.133,-0.699,-0.761,-5.249,-1.465,-2.930
1,114,-0.129,-0.701,-0.764,-8.423,-6.104,-8.179
2,0,-0.021,0.187,0.081,-5.859,-4.150,6.348
2,1,-0.047,0.290,0.212,134.644,39.185,-29.175
2,2,-0.476,-1.357,-1.793,310.364,89.905,-56.702
2,3,-0.589,-1.767,-2.589,-106.934,32.288,25.879
2,4,0.281,-1.650,-1.845,-822.571,-96.558,112.061
2,5,-0.052,-3.128,-1.587,-596.924,-141.907,-7.935
2,6,-1.075,-3.619,-2.295,167.053,-219.788,-45.410
2,7,-0.239,-1.019,-0.744,562.073,-302.307,125.305
2,8,-0.034,-0.203,-0.193,507.996,-226.257,230.774
2,9,-0.047,0.066,0.024,362.488,-63.354,294.678
2,10,0.045,0.264,0.221,266.663,72.388,348.877
2,11,0.193,0.464,0.380,347.656,109.497,325.806
2,12,0.171,0.426,0.249,586.975,42.297,214.233
2,13,0.028,0.200,0.018,805.542,-20.386,91.003
2,14,-0.075,-0.016,-0.082,835.999,-12.817,30.151
2,15,-0.079,-0.166,-0.066,678.772,29.419,39.307
2,16,-0.061,-0.186,0.006,428.223,52.979,77.881
2,17,-0.031,-0.116,0.081,176.636,50.049,112.183
2,18,-0.028,-0.068,0.048,5.188,52.002,105.896
2,19,-0.033,-0.102,-0.096,-93.872,92.773,48.340
2,20,-0.021,-0.260,-0.453,-212.952,154.602,-28.320
2,21,0.002,-0.367,-0.902,-481.812,199.463,-96.375
2,22,0.078,-0.317,-1.220,-923.462,204.651,-173.401
2,23,0.081,-0.551,-1.693,-1341.919,153.992,-277.161
2,24,-0.223,-1.879,-2.452,-1604.919,30.396,-360.657
2,25,-1.067,-3.660,-2.084,-1455.566,-163.269,-317.261
2,26,-0.527,-1.656,-0.881,-582.581,-344.910,-83.374
2,27,-0.158,-0.941,-0.633,110.779,-285.583,81.116
2,28,-0.130,-0.733,-0.573,271.545,-52.002,142.090
2,29,-0.124,-0.190,-0.243,293.091,194.763,181.213
2,30,-0.069,-0.042,-0.215,440.674,379.822,186.523
2,31,-0.077,-0.583,-0.876,697.388,429.382,146.912
2,32,-0.063,-0.991,-1.517,833.984,285.339,119.629
2,33,-0.037,-0.677,-1.135,676.270,54.382,90.088
2,34,-0.126,-0.467,-0.771,398.987,-70.801,17.395
2,35,-0.188,-0.377,-0.571,126.770,-92.224,-42.480
2,36,-0.149,-0.234,-0.372,-149.597,-91.858,-58.899
2,37,-0.143,-0.367,-0.618,-345.154,-66.650,-63.538
2,38,-0.148,-0.589,-0.927,-522.644,-11.658,-81.116
2,39,-0.166,-0.922,-1.137,-649.658,16.235,-116.699
2,40,-0.214,-1.066,-1.001,-605.469,-28.564,-144.226
2,41,-0.170,-0.806,-0.648,-385.193,-104.126,-133.240
2,42,-0.132,-0.748,-0.590,-118.469,-132.568,-90.210
2,43,-0.119,-0.799,-0.659,62.256,-88.989,-33.447
2,44,-0.082,-0.684,-0.575,142.822,-5.005,27.222
2,45,-0.070,-0.649,-0.591,207.825,75.989,71.594
2,46,-0.063,-0.716,-0.750,285.583,112.793,87.280
2,47,-0.055,-0.790,-0.942,323.914,96.375,73.975
2,48,-0.048,-0.741,-0.955,272.644,48.828,37.781
2,49,-0.066,-0.632,-0.842,156.494,0.183,-7.385
2,50,-0.100,-0.592,-0.761,34.607,-31.616,-45.471
2,51,-0.115,-0.548,-0.673,-76.965,-43.701,-60.730
2,52,-0.114,-0.598,-0.703,-152.405,-40.588,-56.213
2,53,-0.097,-0.706,-0.794,-191.895,-32.654,-42.603
2,54,-0.084,-0.823,-0.868,-192.078,-28.137,-33.447
2,55,-0.080,-0.839,-0.833,-147.400,-31.311,-30.090
2,56,-0.090,-0.736,-0.700,-61.890,-36.926,-25.574
2,57,-0.113,-0.644,-0.622,37.720,-29.968,-14.709
2,58,-0.141,-0.631,-0.646,104.736,-5.859,7.324
2,59,-0.158,-0.696,-0.756,110.168,24.780,37.659
2,60,-0.157,-0.742,-0.836,66.406,43.640,61.218
2,61,-0.155,-0.743,-0.853,17.822,42.603,58.289
2,62,-0.171,-0.707,-0.811,-0.305,25.269,29.053
2,63,-0.190,-0.643,-0.733,3.540,1.099,-2.930
2,64,-0.202,-0.617,-0.694,3.418,-12.512,-18.982
2,65,-0.195,-0.647,-0.718,-21.790,-8.118,-11.169
2,66,-0.168,-0.716,-0.779,-61.707,7.751,9.949
2,67,-0.132,-0.757,-0.802,-78.369,21.667,25.879
