ShotID,Time,aX,aY,aZ,gX,gY,gZ
2,0,1.676,-0.495,-1.477,-184.937,85.510,-65.308
2,1,0.246,0.147,-0.116,-506.531,150.940,-133.972
2,2,-0.036,0.239,0.024,-346.680,93.262,-113.403
2,3,-0.600,-0.037,-0.650,234.802,-2.502,-109.741
2,4,-0.709,-3.498,-4.000,1379.456,-177.856,-90.088
2,5,-0.515,-4.000,-4.000,1869.019,-667.969,146.301
2,6,-0.091,-1.042,-1.936,1295.044,-1289.001,369.995
2,7,-4.000,-4.000,4.000,1048.889,-1020.935,248.779
2,8,3.262,-2.715,-4.000,-305.969,-61.890,162.170
2,9,2.181,0.425,-3.985,-1757.446,290.222,-630.432
2,10,2.212,1.426,-3.456,-1999.939,661.133,-754.028
2,11,3.687,2.045,-3.998,-1645.813,875.305,-411.438
2,12,3.627,1.826,-4.000,-85.205,1014.893,72.205
2,13,2.012,0.593,-4.000,541.809,1075.928,214.539
2,14,0.730,0.826,-3.613,-75.867,884.399,-103.455
2,15,0.418,0.604,-1.855,-278.809,450.562,-208.984
2,16,0.207,0.249,-0.751,-266.479,-2.441,-158.508
2,17,0.152,0.155,-0.273,-324.341,-332.397,-137.573
2,18,0.077,0.142,-0.089,-405.029,-512.085,-67.566
2,19,-0.040,0.077,-0.118,-436.279,-527.771,-88.928
2,20,-0.005,0.142,-0.058,-529.724,-431.396,-54.626
2,21,-0.090,0.222,-0.117,-600.281,-340.454,-16.785
2,22,-0.175,0.315,-0.166,-625.977,-249.939,47.546
2,23,-0.255,0.474,-0.133,-600.708,-124.695,172.302
2,24,-0.234,0.546,-0.027,-444.946,33.997,257.568
2,25,-0.247,0.463,-0.030,-178.589,161.316,243.652
2,26,-0.286,0.363,-0.144,60.242,231.079,187.805
2,27,-0.284,0.378,-0.125,176.208,244.629,164.124
2,28,-0.176,0.376,-0.088,255.798,217.407,162.781
2,29,-0.124,0.204,-0.040,348.083,161.560,146.301
2,30,-0.153,0.131,-0.030,393.433,102.783,133.667
2,31,-0.190,0.103,-0.082,409.546,68.970,125.366
2,32,-0.206,0.113,-0.209,421.692,68.848,108.765
2,33,-0.219,0.146,-0.416,445.557,85.938,80.261
2,34,-0.258,0.182,-0.736,500.305,112.061,40.955
2,35,-0.212,0.203,-1.438,596.008,147.644,0.244
2,36,0.312,-0.066,-3.221,685.059,185.791,-42.603
2,37,1.027,-0.603,-4.000,467.102,197.693,-125.366
2,38,0.120,-0.935,-4.000,55.115,106.567,-284.790
2,39,0.029,-1.316,-3.980,0.305,-81.543,-337.891
2,40,0.261,-0.899,-2.376,-250.305,-281.494,-324.829
2,41,0.225,-0.528,-1.035,-240.295,-337.952,-369.507
2,42,0.138,-0.178,-0.192,-186.523,-294.250,-357.178
2,43,0.093,-0.200,-0.041,-34.363,-231.689,-312.744
2,44,0.185,-0.589,-0.303,135.742,-182.251,-247.681
2,45,0.408,-1.482,-1.008,314.392,-159.180,-194.763
2,46,0.577,-2.278,-1.693,434.692,-182.922,-133.484
2,47,0.674,-2.140,-1.537,398.499,-258.057,-50.720
2,48,0.735,-1.873,-1.227,348.938,-312.683,-4.944
2,49,0.620,-1.412,-0.758,346.252,-306.213,14.893
2,50,0.302,-0.970,-0.296,309.570,-268.311,46.387
2,51,0.218,-0.615,-0.058,250.061,-228.638,86.426
2,52,0.136,-0.494,0.059,225.891,-206.604,113.342
2,53,0.017,-0.572,0.054,224.304,-179.932,116.943
2,54,0.117,-0.817,-0.170,212.402,-135.986,103.210
2,55,0.241,-1.099,-0.482,159.058,-94.421,78.979
2,56,0.354,-1.258,-0.689,52.185,-57.678,62.744
2,57,0.341,-1.150,-0.606,-65.369,-18.311,60.608
2,58,0.304,-0.982,-0.484,-111.267,17.822,70.740
2,59,0.290,-0.920,-0.537,-88.501,43.640,83.069
2,60,0.210,-0.677,-0.394,-79.163,50.232,86.548
2,61,0.150,-0.551,-0.332,-64.392,42.419,74.036
2,62,0.148,-0.548,-0.404,-50.720,32.837,49.377
2,63,0.179,-0.626,-0.516,-69.702,25.635,21.912
2,64,0.235,-0.703,-0.646,-119.324,28.076,-0.305
2,65,0.296,-0.752,-0.785,-176.147,44.067,-19.043
2,66,0.321,-0.835,-0.872,-208.130,65.918,-37.598
2,67,0.310,-0.837,-0.880,-227.112,93.506,-44.617
2,68,0.289,-0.810,-0.854,-232.300,125.854,-41.016
2,69,0.276,-0.761,-0.814,-226.562,157.349,-33.386
2,70,0.281,-0.750,-0.819,-217.224,184.692,-27.710
2,71,0.294,-0.759,-0.863,-209.167,205.261,-24.780
2,72,0.340,-0.806,-0.959,-207.825,217.041,-22.461
2,73,0.413,-0.852,-1.072,-210.510,221.924,-17.456
2,74,0.494,-0.848,-1.166,-211.121,223.389,-6.714
2,75,0.568,-0.818,-1.262,-191.772,221.558,4.028
2,76,0.633,-0.744,-1.337,-154.846,213.989,17.883
2,77,0.695,-0.617,-1.374,-119.385,199.951,34.851
2,78,0.739,-0.443,-1.370,-89.478,180.054,52.185
2,79,0.739,-0.258,-1.354,-50.659,156.128,66.406
2,80,0.688,-0.109,-1.345,-2.991,128.845,79.346
2,81,0.576,-0.003,-1.299,35.034,97.351,93.567
2,82,0.429,0.076,-1.210,47.424,62.988,102.295
2,83,0.272,0.140,-1.117,40.161,32.410,101.257
2,84,0.126,0.178,-1.049,34.729,10.620,94.482
2,85,0.007,0.190,-1.015,38.635,-0.183,88.196
2,86,-0.079,0.176,-1.025,47.119,-1.160,82.092
2,87,-0.138,0.143,-1.072,50.598,3.296,70.801
2,88,-0.189,0.104,-1.102,43.884,9.399,52.917
2,89,-0.223,0.067,-1.083,30.518,11.353,32.959
2,90,-0.231,0.031,-1.016,16.174,5.798,13.794
2,91,-0.194,0.005,-0.936,1.099,-3.906,-3.235
2,92,-0.126,-0.018,-0.926,-15.381,-12.573,-20.142
2,93,-0.048,-0.056,-0.972,-26.672,-19.165,-37.048
2,94,0.045,-0.119,-1.058,-30.701,-25.940,-50.720
2,95,0.162,-0.197,-1.155,-35.400,-33.875,-59.509
2,96,0.268,-0.272,-1.200,-43.701,-42.297,-67.871
2,97,0.351,-0.348,-1.189,-49.377,-48.462,-76.111
2,98,0.407,-0.417,-1.141,-51.086,-52.429,-80.383
2,99,0.441,-0.483,-1.066,-43.945,-54.626,-79.163
2,100,0.459,-0.549,-0.996,-26.428,-57.495,-75.134
2,101,0.472,-0.622,-0.944,-3.967,-62.683,-69.397
2,102,0.480,-0.690,-0.905,18.616,-71.472,-62.134
2,103,0.484,-0.747,-0.867,40.283,-82.947,-53.406
2,104,0.484,-0.789,-0.827,58.594,-95.337,-44.067
2,105,0.479,-0.811,-0.782,75.256,-104.919,-34.424
2,106,0.465,-0.821,-0.734,90.027,-109.985,-24.658
2,107,0.449,-0.825,-0.689,101.501,-109.375,-15.198
2,108,0.427,-0.822,-0.652,108.826,-103.638,-6.287
2,109,0.404,-0.818,-0.625,111.023,-94.910,1.587
2,110,0.380,-0.817,-0.612,107.422,-84.961,9.216
2,111,0.357,-0.815,-0.601,99.182,-74.341,16.968
2,112,0.337,-0.812,-0.599,87.646,-63.354,24.475
2,113,0.319,-0.807,-0.598,73.608,-52.124,31.006
2,114,0.304,-0.797,-0.599,58.228,-40.039,36.865
2,115,0.291,-0.786,-0.601,42.725,-27.039,41.626
2,116,0.282,-0.772,-0.606,27.283,-12.878,44.617
2,117,0.278,-0.757,-0.614,11.353,1.587,45.532
2,118,0.278,-0.740,-0.627,-3.601,15.625,43.701
2,119,0.286,-0.726,-0.646,-17.273,27.588,39.124
2,120,0.297,-0.709,-0.668,-29.724,35.645,32.227
2,121,0.312,-0.694,-0.691,-40.100,41.565,23.743
2,122,0.328,-0.679,-0.709,-49.744,45.471,13.306
2,123,0.344,-0.666,-0.731,-58.350,48.523,2.197
2,124,0.356,-0.654,-0.752,-66.406,51.331,-8.972
2,125,0.369,-0.645,-0.774,-73.242,53.711,-19.897
2,126,0.380,-0.632,-0.798,-77.759,55.237,-29.419
2,127,0.390,-0.622,-0.820,-78.674,56.152,-36.438
2,128,0.400,-0.605,-0.841,-77.393,56.580,-40.833
2,129,0.408,-0.584,-0.859,-74.829,56.946,-42.480
